,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
CC(free),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of non-hydrogen atoms,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101
  macromolecules,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860
  ligands,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
  solvent,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
Protein residues,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
Nucleic acid bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS(bonds),0.008,0.005,0.005,0.004,0.007,0.005,0.005,0.005,0.005,0.005,0.006,0.003,0.004,0.007,0.008,0.006,0.005,0.004,0.007,0.005,0.005,0.007,0.003,0.007,0.007,0.008,0.004,0.004,0.003,0.008,0.005,0.008,0.004,0.011,0.008,0.007
RMS(angles),1.03,0.90,0.90,0.88,1.00,0.93,0.89,0.91,0.91,0.88,0.92,0.81,0.87,0.96,1.04,0.92,0.87,0.89,1.00,0.90,0.93,1.03,0.77,1.03,1.03,1.02,0.82,0.83,0.81,1.05,0.87,0.99,0.80,1.18,1.03,0.99
Ramachandran favored (%),96.15,96.38,96.15,96.38,96.15,96.38,96.15,96.38,96.15,96.15,96.61,95.93,96.15,96.15,96.83,96.15,96.15,95.93,96.15,96.61,96.61,96.83,96.38,96.38,96.38,96.61,96.61,96.38,96.61,96.61,96.15,96.61,96.38,96.38,96.38,96.38
Ramachandran allowed (%),3.39,3.17,3.39,3.17,3.39,3.17,3.39,3.17,3.39,3.39,2.94,3.62,3.39,3.39,2.71,3.39,3.39,3.62,3.62,2.94,2.94,2.94,3.17,3.17,3.17,2.94,2.94,3.17,2.94,3.17,3.39,2.94,3.17,3.17,3.17,3.17
Ramachandran outliers (%),0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.45,0.45,0.23,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.45,0.45,0.45,0.45,0.45,0.45
Rotamer outliers (%),1.85,1.39,1.62,1.39,1.62,1.62,1.39,1.39,1.62,1.39,1.62,1.39,1.39,1.62,1.62,1.85,1.39,1.39,1.62,1.62,1.62,1.62,1.39,1.16,1.62,1.62,1.39,1.39,1.62,1.39,1.39,1.85,1.39,0.93,1.39,1.62
Clashscore,3.04,2.02,2.27,2.89,3.15,3.53,2.27,2.52,1.89,2.27,2.40,2.14,2.40,2.14,3.02,1.39,2.02,2.89,2.65,1.64,2.40,3.78,1.26,3.65,3.66,2.52,1.38,1.76,1.64,3.53,2.28,2.40,1.26,3.03,3.41,2.14
Average B-factor,15.11,15.14,15.13,15.20,15.68,15.13,15.24,15.19,15.24,15.34,15.23,15.46,15.48,15.19,15.26,15.68,15.20,15.32,15.64,15.75,15.21,15.12,15.15,15.17,15.35,15.25,15.12,16.05,15.60,15.35,15.42,15.48,15.26,15.80,15.36,15.90
  macromolecules,11.55,11.59,11.58,11.65,12.09,11.57,11.69,11.64,11.69,11.77,11.68,11.80,11.89,11.63,11.69,11.75,11.61,11.63,11.86,11.80,11.63,11.57,11.60,11.62,11.75,11.65,11.57,12.24,11.74,11.77,11.83,11.89,11.70,12.24,11.80,12.35
  ligands,28.08,28.11,28.10,28.17,28.56,28.10,28.21,28.16,28.21,28.21,28.20,27.97,28.02,28.16,28.03,29.12,28.08,27.97,29.00,29.02,28.07,28.09,28.12,28.14,27.98,27.98,28.10,28.95,28.38,28.04,28.32,28.33,28.23,28.77,28.33,28.87
  solvent,25.94,25.97,25.96,26.03,26.65,25.96,26.08,26.03,26.07,26.24,26.07,26.73,26.47,26.02,26.19,27.76,26.14,26.66,27.23,27.90,26.14,25.95,25.99,26.00,26.37,26.25,25.96,27.78,27.51,26.31,26.39,26.47,26.09,26.63,26.19,26.74
Number of TLS groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
