                                                   Pseudohelix_1                     Pseudohelix_2                     Pseudohelix_3                     Pseudohelix_4                     Pseudohelix_5                     Pseudohelix_6                     Pseudohelix_7                     Pseudohelix_8                     Pseudohelix_9                    Pseudohelix_10                    Pseudohelix_11                    Pseudohelix_12                    Pseudohelix_13                    Pseudohelix_14                    Pseudohelix_15                    Pseudohelix_16                    Pseudohelix_17                    Pseudohelix_18                    Pseudohelix_19                    Pseudohelix_20                    Pseudohelix_21                    Pseudohelix_22                    Pseudohelix_23                    Pseudohelix_24                    Pseudohelix_25                    Pseudohelix_26                    Pseudohelix_27                    Pseudohelix_28                    Pseudohelix_29                    Pseudohelix_30                    Pseudohelix_31                    Pseudohelix_32                    Pseudohelix_33                    Pseudohelix_34                    Pseudohelix_35                    Pseudohelix_36
                    Wavelength                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1
              Resolution range        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)
                    RMS(bonds)                             0.004                             0.005                             0.004                             0.004                             0.004                             0.004                             0.009                             0.011                             0.005                             0.004                             0.008                             0.005                             0.006                             0.003                             0.005                             0.006                             0.004                             0.005                             0.004                             0.007                             0.006                             0.010                             0.007                             0.006                             0.008                             0.004                             0.004                             0.005                             0.004                             0.005                             0.010                             0.004                             0.008                             0.004                             0.006                             0.004
                   RMS(angles)                              0.84                              0.92                              0.89                              0.90                              0.89                              0.87                              1.09                              1.17                              0.90                              0.89                              1.04                              0.93                              0.95                              0.83                              0.94                              0.95                              0.89                              0.88                              0.85                              1.01                              0.97                              1.13                              0.99                              0.98                              1.05                              0.90                              0.89                              0.96                              0.89                              0.95                              1.14                              0.88                              1.09                              0.88                              0.94                              0.85
      Ramachandran favored (%)                             96.15                             96.38                             96.15                             96.38                             96.15                             96.15                             96.38                             96.83                             96.15                             96.38                             96.38                             96.15                             96.15                             96.38                             96.38                             96.83                             96.15                             95.93                             96.38                             96.38                             96.15                             96.15                             96.38                             96.15                             96.38                             96.38                             96.15                             96.15                             96.61                             96.15                             96.38                             96.61                             96.61                             96.38                             96.38                             96.15
      Ramachandran allowed (%)                              3.39                              3.17                              3.39                              3.17                              3.39                              3.39                              3.17                              2.71                              3.39                              3.17                              3.17                              3.62                              3.39                              3.17                              3.17                              2.71                              3.39                              3.62                              3.17                              3.17                              3.39                              3.62                              3.39                              3.39                              3.39                              3.17                              3.39                              3.39                              2.94                              3.39                              3.17                              2.94                              2.94                              3.17                              3.17                              3.39
     Ramachandran outliers (%)                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.23                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.23                              0.23                              0.45                              0.23                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45                              0.45
          Rotamer outliers (%)                              1.39                              1.62                              1.62                              1.62                              1.39                              1.62                              1.62                              1.85                              1.39                              1.62                              1.85                              1.62                              1.62                              1.39                              1.62                              1.85                              1.39                              1.39                              1.39                              1.85                              1.39                              1.62                              1.62                              1.62                              1.39                              1.39                              1.39                              1.62                              1.39                              1.39                              1.62                              1.62                              1.62                              1.39                              1.85                              1.39
                    Clashscore                              1.51                              2.39                              2.77                              2.64                              2.39                              2.02                              3.78                              3.65                              2.89                              3.02                              3.40                              2.39                              3.02                              2.01                              2.65                              2.52                              3.52                              2.01                              1.64                              2.89                              3.03                              3.65                              3.15                              3.90                              3.65                              2.39                              2.14                              2.78                              2.52                              3.02                              3.65                              3.02                              3.90                              2.40                              2.89                              1.26
              Average B-factor                             14.24                             14.68                             14.74                             14.61                             14.71                             14.25                             14.79                             14.25                             14.61                             14.82                             14.34                             14.67                             14.62                             15.32                             14.27                             14.24                             14.60                             14.83                             15.18                             14.58                             14.79                             15.12                             14.25                             15.21                             14.66                             14.82                             14.67                             14.25                             14.30                             14.56                             14.76                             14.39                             14.62                             15.28                             14.79                             15.26
                macromolecules                             10.69                             10.97                             10.97                             10.91                             10.95                             10.69                             11.03                             10.70                             10.87                             11.10                             10.77                             10.93                             11.06                             11.50                             10.71                             10.66                             10.86                             11.04                             11.43                             10.85                             11.23                             11.36                             10.69                             11.47                             10.90                             11.06                             10.95                             10.69                             10.75                             10.96                             11.21                             10.83                             11.06                             11.50                             11.24                             11.45
                       ligands                             27.17                             27.66                             28.03                             27.43                             27.88                             27.22                             27.91                             26.99                             27.57                             27.47                             27.07                             27.55                             27.59                             28.59                             27.03                             27.04                             27.11                             28.29                             27.95                             27.33                             27.76                             28.10                             27.22                             28.02                             27.69                             27.88                             27.63                             27.22                             27.08                             27.06                             27.73                             26.88                             27.59                             28.09                             27.76                             28.43
                       solvent                             25.07                             26.03                             26.26                             25.97                             26.25                             25.08                             26.32                             25.10                             26.12                             26.27                             25.25                             26.15                             25.45                             27.05                             25.16                             25.16                             26.14                             26.44                             26.69                             26.02                             25.62                             26.63                             25.08                             26.70                             26.19                             26.36                             26.07                             25.08                             25.16                             25.59                             25.59                             25.27                             25.45                             26.91                             25.62                             26.92
