,wedge_1,wedge_2,wedge_3,wedge_4,wedge_5,wedge_6,wedge_7,wedge_8,wedge_9,wedge_10,wedge_11,wedge_12,wedge_13,wedge_14,wedge_15,wedge_16,wedge_17,wedge_18,wedge_19,wedge_20,wedge_21,wedge_22,wedge_23,wedge_24,wedge_25,wedge_26,wedge_27,wedge_28,wedge_29,wedge_30,wedge_31,wedge_32,wedge_33,wedge_34,wedge_35,wedge_36
CC(free),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of non-hydrogen atoms,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101
  macromolecules,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860
  ligands,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
  solvent,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
Protein residues,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
Nucleic acid bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS(bonds),0.006,0.005,0.006,0.004,0.005,0.007,0.008,0.006,0.005,0.007,0.009,0.008,0.004,0.007,0.009,0.005,0.005,0.008,0.003,0.005,0.003,0.004,0.008,0.004,0.011,0.006,0.004,0.006,0.004,0.004,0.006,0.010,0.004,0.004,0.004,0.007
RMS(angles),0.96,0.87,0.97,0.85,0.91,1.04,1.05,0.96,0.88,0.98,1.10,1.09,0.89,1.01,1.05,0.92,0.96,1.10,0.81,0.97,0.83,0.87,1.08,0.90,1.21,0.99,0.85,0.93,0.89,0.88,0.94,1.17,0.82,0.82,0.90,0.98
Ramachandran favored (%),96.38,96.61,96.15,96.15,96.15,96.38,96.38,96.61,95.93,96.61,96.15,96.15,96.38,96.38,96.38,96.61,96.15,96.38,96.38,96.61,96.38,96.15,95.93,96.15,96.38,96.38,96.38,96.38,96.38,96.38,96.15,96.83,96.38,96.15,96.61,96.38
Ramachandran allowed (%),3.17,2.94,3.39,3.39,3.39,3.17,3.39,2.94,3.85,2.94,3.62,3.39,3.17,3.17,3.17,3.17,3.62,3.39,3.17,2.94,3.17,3.39,3.62,3.39,3.17,3.17,3.17,3.17,3.17,3.17,3.39,2.71,3.17,3.39,2.94,3.17
Ramachandran outliers (%),0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.45,0.23,0.45,0.23,0.45,0.45,0.45,0.45,0.23,0.23,0.23,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Rotamer outliers (%),1.62,1.39,1.62,1.62,1.16,1.62,1.39,1.39,1.39,1.62,1.62,1.39,1.39,1.39,1.62,1.39,1.39,1.62,1.39,1.85,1.39,1.85,1.62,1.39,1.39,1.39,1.62,1.62,1.16,1.39,1.62,1.85,1.39,1.16,1.62,1.62
Clashscore,3.15,1.89,3.54,1.64,3.28,3.52,4.04,3.27,1.76,2.01,3.66,4.42,3.03,3.54,3.54,3.53,3.90,5.67,2.14,3.17,2.15,1.38,3.79,3.66,4.80,3.29,1.64,2.77,2.65,3.02,1.89,3.92,1.52,1.38,3.28,3.16
Average B-factor,14.60,14.59,14.76,14.79,14.64,14.87,15.18,14.66,14.77,15.70,15.25,15.28,15.37,15.98,15.80,16.04,17.25,16.50,17.09,16.02,16.00,15.23,15.21,15.96,15.11,15.18,15.92,15.26,14.82,15.59,15.12,16.04,15.02,15.15,15.24,15.78
  macromolecules,11.01,11.04,11.13,11.09,11.09,11.30,11.27,11.11,11.20,11.79,11.67,11.73,11.82,12.42,12.24,12.45,13.36,12.89,13.21,12.43,12.42,11.67,11.66,11.98,11.56,11.63,12.06,11.71,11.26,11.73,11.56,12.14,11.45,11.59,11.62,11.84
  ligands,27.40,27.56,27.60,27.53,27.61,27.55,28.54,27.63,27.66,29.28,28.09,28.25,28.34,28.42,28.77,28.80,29.78,28.87,29.72,28.72,28.79,28.20,28.18,29.83,28.08,28.16,28.71,27.84,27.79,28.09,28.09,29.05,27.71,28.12,27.96,28.99
  solvent,25.57,25.43,25.84,26.13,25.47,25.78,27.19,25.49,25.66,27.69,26.17,26.11,26.20,26.91,26.63,27.00,29.32,27.57,29.08,27.03,26.93,26.06,26.04,28.18,25.94,26.02,27.84,26.12,25.65,27.53,25.95,28.07,25.93,25.98,26.32,27.90
Number of TLS groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
