Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Pseudohelix 23,5.51,A,93.10133697253325,94.80692184654234,170.07140010009923,5.987275855120657,67.95154381778394,-0.0013305682157636056,-5.032909069232929
Pseudohelix 24,5.35,A,93.48668274359231,94.13694771863707,169.98475067338092,6.482930549730824,66.24611710876695,0.2540805729841509,-3.843476950967599
Pseudohelix 25,5.33,A,93.15947295541841,94.21729570467596,170.32163178484322,6.252866570415037,64.56009339409641,0.8897256381774667,-4.2203825010162035
Pseudohelix 26,5.51,A,92.80987299427495,94.72706074163598,169.93585378702548,6.652405599450347,66.49188525471054,0.940327922296305,-4.362760122836519
Pseudohelix 27,5.55,A,92.8955889618298,94.69973771066117,170.27322211248682,6.060973196757956,66.46412603058695,1.3125865358138356,-4.954156584326114
Pseudohelix 28,6.26,A,94.0164710375453,94.12676493387175,169.86654530398363,6.020516732846488,66.87368434447414,0.1873226347952226,-4.521376486435258
Pseudohelix 29,6.41,A,93.22972944839967,94.10670003932476,170.56150560647907,5.927104893816761,66.30028410596458,0.7065633508058085,-4.830298894962567
Pseudohelix 30,6.53,A,93.18884870001352,93.76065892860366,170.35790456833286,6.673606989095973,66.31819871891618,0.5696978080199955,-4.101960247772098
Pseudohelix 31,6.66,A,92.96881257936734,93.93070590827567,170.68967177162185,6.240538906441998,66.85163070826007,0.8463202675501691,-3.97227884887495
Pseudohelix 32,6.99,A,93.57664100487054,94.32525951208231,169.78473331981334,6.460667080527529,66.99627902941376,1.015719922940761,-4.637736449114698
Pseudohelix 33,7.54,A,92.94578230945216,94.5226521316978,170.62394146433186,5.655430696842146,66.49836251830213,-0.722767919425749,-4.740997232221005
Pseudohelix 34,7.82,A,92.97845826327286,94.1312874414749,170.53683763957036,6.233261741431718,67.53873785556208,0.6054351716545483,-4.4013983165480965
Pseudohelix 35,8.13,A,93.01424811551969,94.63619295003336,170.27044688228696,5.996556815880666,66.91209842306962,0.40049926961684434,-4.480544069329994
Pseudohelix 36,8.65,A,93.41052894622838,95.41000506983019,168.64567337317436,7.125871451174788,67.60929738422415,2.5758357849427256,-4.969722501589601
Pseudohelix 1,1.22,B,93.71719158196893,90.61816389657434,173.87134622504126,4.33423834320385,70.17121909584822,-0.25651814366948145,-3.368516511335784
Pseudohelix 2,1.74,B,93.95184495226377,92.01790503529068,172.20059754047327,5.019107165804414,68.55262432840132,0.7276212785348406,-3.6120004226050497
Pseudohelix 3,2.07,B,94.14647004171191,91.98091112652595,172.4173231617364,4.467042219864538,69.75684008238464,1.572332784092609,-4.004231194305433
Pseudohelix 4,2.37,B,93.3091138368199,92.45128196892841,172.9088266338525,4.133593592970982,70.36332735659886,1.5507276949216617,-4.457587041061927
Pseudohelix 5,2.74,B,94.0325209582259,92.53636713682455,172.09299268998222,4.399657092613438,69.00550626208775,0.8287856382138443,-3.863188384944948
Pseudohelix 6,2.98,B,93.45135831945436,92.73911411229172,171.84252353708808,5.309082444189585,68.57270468865568,1.9781255323455582,-3.5825757844088884
Pseudohelix 7,3.39,B,94.20526128193046,92.9630641754181,171.3123431001434,4.905119307311949,68.22111188787102,3.1337474699531356,-4.020915546905783
Pseudohelix 8,3.56,B,93.87688428410567,92.12941020716661,172.1556044373842,5.045094419072001,68.78393364200485,2.0360885338905064,-3.843979323871835
Pseudohelix 9,3.81,B,94.48145692870574,91.68821615377263,172.07301092601537,4.978901473740763,68.76576034560217,2.4290018822701285,-4.064462776373503
Pseudohelix 10,3.94,B,94.73262644173172,91.37690996235898,172.15489175521898,4.924336966684265,67.04417038058429,2.544380910792924,-3.8189453095404815
Pseudohelix 11,4.18,B,94.04295757239304,93.03334128630148,171.89459405955824,3.9497889457040714,69.26856565472765,1.3397327153784886,-5.11420833468479
