,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
CC(free),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of non-hydrogen atoms,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101,5101
  macromolecules,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860
  ligands,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
  solvent,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
Protein residues,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
Nucleic acid bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS(bonds),0.003,0.005,0.003,0.004,0.004,0.005,0.007,0.005,0.010,0.006,0.004,0.008,0.003,0.007,0.005,0.003,0.009,0.005,0.008,0.008,0.010,0.008,0.004,0.003,0.007,0.005,0.006,0.011,0.005,0.010,0.004,0.003,0.005,0.006,0.005,0.005
RMS(angles),0.81,0.85,0.80,0.84,0.84,0.88,1.07,0.87,1.12,0.91,0.88,1.00,0.81,0.99,0.93,0.78,1.09,0.91,1.01,1.02,1.14,1.03,0.91,0.79,1.05,0.91,0.94,1.17,0.86,1.18,0.81,0.80,0.89,0.93,0.92,0.94
Ramachandran favored (%),95.70,95.48,95.93,95.70,95.93,96.15,96.38,95.70,96.38,95.70,95.93,96.38,96.15,96.15,95.93,95.70,96.15,96.38,96.15,95.48,96.38,95.93,96.15,95.93,96.38,95.93,96.38,96.61,96.38,96.83,95.93,96.38,95.93,96.38,96.15,96.15
Ramachandran allowed (%),3.85,4.07,3.62,3.85,3.62,3.39,3.39,3.85,3.17,3.85,3.62,3.17,3.39,3.39,3.62,3.85,3.39,3.39,3.39,4.07,3.17,3.62,3.39,3.62,3.17,3.62,3.17,3.17,3.39,2.94,3.62,3.17,3.62,3.17,3.39,3.39
Ramachandran outliers (%),0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.23,0.23,0.45,0.45,0.45,0.45,0.45,0.45
Rotamer outliers (%),1.62,1.39,1.62,1.62,1.39,1.39,1.39,1.62,1.62,1.62,1.39,1.62,1.62,1.62,1.62,1.39,1.85,1.39,1.85,1.85,1.85,1.85,1.62,1.39,1.62,1.62,1.39,1.39,1.39,1.85,1.39,1.39,1.62,1.62,1.62,1.62
Clashscore,2.53,1.39,1.39,1.77,1.65,1.64,3.92,1.52,2.15,1.64,2.28,1.90,1.77,2.52,3.78,1.65,2.91,1.52,2.78,1.90,3.04,3.29,3.29,1.26,3.93,2.15,2.28,3.93,1.65,3.80,1.26,1.77,2.41,2.28,1.77,2.91
Average B-factor,15.67,15.77,15.61,15.70,15.63,15.79,15.74,15.90,15.83,15.95,16.15,15.71,16.05,15.94,15.93,15.83,16.05,15.84,16.31,15.80,15.69,15.59,15.86,16.03,16.09,16.14,16.30,16.11,16.28,16.21,16.38,16.21,16.33,16.39,16.28,16.31
  macromolecules,12.59,12.67,12.60,12.68,12.56,12.67,12.68,12.80,12.78,12.83,13.03,12.69,12.96,12.90,12.85,12.80,12.97,12.82,13.16,12.73,12.63,12.53,12.72,12.92,12.95,12.98,13.14,13.03,13.19,13.09,13.23,13.05,13.16,13.33,13.16,13.21
  ligands,28.16,27.88,26.29,26.73,26.25,29.32,26.83,27.60,26.70,29.14,26.90,26.62,27.21,27.47,28.46,26.54,28.32,27.13,29.41,26.98,27.08,26.42,28.85,28.47,29.00,29.78,29.29,28.04,27.58,27.49,29.39,29.02,28.39,27.17,27.76,28.40
  solvent,24.93,25.13,24.79,24.92,25.05,25.07,25.09,25.30,25.16,25.23,25.76,24.94,25.47,25.17,25.15,25.10,25.33,25.01,25.74,25.15,25.01,24.96,25.25,25.39,25.46,25.52,25.76,25.41,25.68,25.72,25.81,25.71,25.94,25.77,25.77,25.66
Number of TLS groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
